date,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,rain_sum,snowfall_sum,pressure_msl_mean
1950-06-23 00:00:00+00:00,24.17974,11.848124,69.297226,34.974697,,,1025.805
1950-06-24 00:00:00+00:00,27.352007,14.240337,64.38806,36.037594,,,1015.27124
1950-06-25 00:00:00+00:00,28.624271,17.532553,65.47889,50.100494,,,1001.33734
1950-06-26 00:00:00+00:00,20.046537,11.174766,75.56971,41.1634,,,1009.20337
1950-06-27 00:00:00+00:00,20.868803,10.466979,79.660545,36.226295,,,1015.4695
1950-06-28 00:00:00+00:00,16.341068,12.659195,89.751366,64.28919,,,1006.93567
1950-06-29 00:00:00+00:00,17.813332,10.35141,92.84219,46.35209,,,1004.80176
1950-06-30 00:00:00+00:00,16.1356,9.543623,88.93303,64.41499,,,1008.96796
1950-07-01 00:00:00+00:00,15.007862,9.385837,85.02385,51.477886,,,1012.13403
1950-07-02 00:00:00+00:00,17.830126,8.878052,88.11468,49.540783,,,1014.90015
1950-07-03 00:00:00+00:00,19.965528,10.877612,88.111374,45.544086,,,1018.3728
1950-07-04 00:00:00+00:00,21.622833,12.739415,87.951195,49.44806,,,1016.5563
1950-07-05 00:00:00+00:00,20.230135,14.60122,90.791,61.352028,,,1014.9398
1950-07-06 00:00:00+00:00,23.837439,14.013023,87.630806,51.256004,,,1013.22327
1950-07-07 00:00:00+00:00,20.69474,14.974826,87.47061,66.15997,,,1012.90686
1950-07-08 00:00:00+00:00,21.452042,14.2366295,88.31043,53.063946,,,1015.29034
1950-07-09 00:00:00+00:00,21.959345,12.448434,90.15023,65.96792,,,1017.3739
1950-07-10 00:00:00+00:00,25.816648,14.610237,90.990036,44.871887,,,1021.7574
1950-07-11 00:00:00+00:00,26.673948,14.8220415,72.82985,32.775864,,,1023.8409
1950-07-12 00:00:00+00:00,25.63125,15.4338455,74.66965,37.679832,,,1023.92444
1950-07-13 00:00:00+00:00,26.638554,15.695648,75.50947,38.583805,,,1024.1079
1950-07-14 00:00:00+00:00,28.545855,16.457453,76.34929,31.487782,,,1024.2915
1950-07-15 00:00:00+00:00,31.453161,18.019255,78.18909,30.391747,,,1022.27496
1950-07-16 00:00:00+00:00,32.86046,20.281061,67.02889,29.295723,,,1018.15845
1950-07-17 00:00:00+00:00,29.367764,17.792864,67.868706,18.199696,,,1017.742
1950-07-18 00:00:00+00:00,27.925062,15.5546665,63.70852,25.103664,,,1017.82556
1950-07-19 00:00:00+00:00,32.032368,16.21647,58.548317,21.007637,,,1012.00903
1950-07-20 00:00:00+00:00,27.539669,17.328276,81.38813,42.911606,,,1006.69257
1950-07-21 00:00:00+00:00,21.596968,13.840078,77.22794,47.815582,,,1012.4761
1950-07-22 00:00:00+00:00,20.704271,13.651881,70.06775,40.71955,,,1010.0596
1950-07-23 00:00:00+00:00,19.611574,12.063686,69.907555,39.623528,,,1017.443
1950-07-24 00:00:00+00:00,25.268877,15.825491,83.747375,56.527496,,,1018.2267
1950-07-25 00:00:00+00:00,32.72618,19.037292,88.58719,28.431469,,,1014.31006
1950-07-26 00:00:00+00:00,25.783484,17.799097,70.42699,47.33544,,,1009.99365
1950-07-27 00:00:00+00:00,20.290785,12.1609,83.2668,45.239414,,,1015.07715
1950-07-28 00:00:00+00:00,23.848087,11.472704,86.106606,36.143383,,,1013.86066
1950-07-29 00:00:00+00:00,23.355389,13.834508,80.94641,38.047356,,,1015.04425
1950-07-30 00:00:00+00:00,22.56269,13.596311,97.786224,46.951324,,,1017.1277
1950-07-31 00:00:00+00:00,24.819994,15.158116,100.0,58.855297,,,1017.6112
1950-08-01 00:00:00+00:00,26.927294,16.66992,100.0,40.759274,,,1014.3947
1950-08-02 00:00:00+00:00,23.1346,14.731722,95.30566,45.663246,,,1013.9782
1950-08-03 00:00:00+00:00,22.5419,13.493526,100.0,41.567215,,,1016.86176
1950-08-04 00:00:00+00:00,25.5992,12.75533,92.985275,37.471188,,,1018.4453
1950-08-05 00:00:00+00:00,30.106504,15.267133,72.82508,30.37516,,,1015.9289
1950-08-06 00:00:00+00:00,30.363806,19.178936,68.66489,29.279129,,,1011.61224
1950-08-07 00:00:00+00:00,30.921108,20.140741,53.5047,25.183102,,,1011.1958
1950-08-08 00:00:00+00:00,32.578415,20.252546,51.344505,19.087074,,,1014.9794
1950-08-09 00:00:00+00:00,30.985712,18.514349,65.18432,24.991043,,,1017.4629
1950-08-10 00:00:00+00:00,26.043015,16.176151,75.02413,32.89502,,,1022.0464
1950-08-11 00:00:00+00:00,23.700315,14.137956,83.863945,35.79899,,,1023.4299
1950-08-12 00:00:00+00:00,27.70762,14.499761,79.70375,26.702961,,,1018.2134
1950-08-13 00:00:00+00:00,32.714924,18.011562,56.543556,25.606937,,,1012.79694
1950-08-14 00:00:00+00:00,29.822224,19.523365,63.38336,38.510906,,,1008.78046
1950-08-15 00:00:00+00:00,23.829527,16.48517,77.223175,43.414883,,,1010.164
1950-08-16 00:00:00+00:00,22.036829,13.746975,84.06298,43.31885,,,1012.24744
1950-08-17 00:00:00+00:00,25.094131,12.808779,77.90279,31.222824,,,1009.93097
1950-08-18 00:00:00+00:00,23.501432,15.920581,99.74261,64.12679,,,1004.11456
1950-08-19 00:00:00+00:00,19.058735,11.232385,97.58241,45.03077,,,1015.29803
1950-08-20 00:00:00+00:00,18.916039,10.294189,89.42222,44.93474,,,1018.58154
1950-08-21 00:00:00+00:00,20.27334,11.055992,86.26204,38.83871,,,1014.765
1950-08-22 00:00:00+00:00,20.430641,11.217797,96.10184,40.74268,,,1018.5486
1950-08-23 00:00:00+00:00,26.737944,13.2296,68.94165,30.646656,,,1018.43207
1950-08-24 00:00:00+00:00,29.195248,16.291405,79.781456,23.550625,,,1012.9156
1950-08-25 00:00:00+00:00,20.75255,14.353208,88.62127,37.454597,,,1015.4992
1950-08-26 00:00:00+00:00,20.10985,13.465012,97.461075,48.35857,,,1014.1826
1950-08-27 00:00:00+00:00,19.567154,12.676815,88.30089,47.262543,,,1015.0661
1950-08-28 00:00:00+00:00,19.724455,11.338618,85.14069,57.166515,,,1022.5497
1950-08-29 00:00:00+00:00,24.131756,13.450421,97.98051,43.070484,,,1025.7332
1950-08-30 00:00:00+00:00,26.53906,14.262227,79.82032,33.974453,,,1023.7167
1950-08-31 00:00:00+00:00,27.896362,15.92403,58.660126,25.87843,,,1019.1002
1950-09-01 00:00:00+00:00,30.103664,17.235832,78.49993,22.782402,,,1015.2837
1950-09-02 00:00:00+00:00,22.720264,13.245586,80.45697,41.720886,,,1019.69824
1950-09-03 00:00:00+00:00,23.89616,10.753288,90.53122,17.69389,,,1020.1439
1950-09-04 00:00:00+00:00,28.722052,14.210991,69.60548,29.66689,,,1020.48956
1950-09-05 00:00:00+00:00,27.997948,16.418692,83.679726,42.6399,,,1021.13513
1950-09-06 00:00:00+00:00,21.423847,12.576393,97.753975,34.6129,,,1023.6808
1950-09-07 00:00:00+00:00,24.949743,13.284096,72.82823,27.585903,,,1018.52637
1950-09-08 00:00:00+00:00,24.425636,14.641797,66.90248,45.558903,,,1009.372
1950-09-09 00:00:00+00:00,16.651533,11.449498,87.976746,49.531906,,,1014.3176
1950-09-10 00:00:00+00:00,15.87743,9.6572,98.05099,56.504906,,,1019.1632
1950-09-11 00:00:00+00:00,18.753323,7.1649027,98.125244,45.477913,,,1020.6088
1950-09-12 00:00:00+00:00,19.079222,13.622604,95.19949,67.45091,,,1018.45447
1950-09-13 00:00:00+00:00,15.355117,11.980306,95.27376,71.42392,,,1023.00006
1950-09-14 00:00:00+00:00,17.681013,8.888008,98.34801,48.396915,,,1028.1458
1950-09-15 00:00:00+00:00,15.156907,5.89571,98.42226,55.369923,,,1032.1914
1950-09-16 00:00:00+00:00,21.082802,8.353412,72.49651,43.342922,,,1030.637
1950-09-17 00:00:00+00:00,17.308697,11.861114,98.57076,60.315926,,,1028.7826
1950-09-18 00:00:00+00:00,16.084595,11.618816,98.64502,90.288925,,,1028.5281
1950-09-19 00:00:00+00:00,15.31049,10.526516,98.71927,77.26193,,,1030.3738
1950-09-20 00:00:00+00:00,21.486385,8.534218,98.793526,52.234936,,,1024.0193
1950-09-21 00:00:00+00:00,23.712282,11.391921,90.867775,53.20794,,,1021.4651
1950-09-22 00:00:00+00:00,25.288176,12.149622,96.94203,41.18094,,,1021.4106
1950-09-23 00:00:00+00:00,17.064074,10.607325,99.01628,76.153946,,,1025.3562
1950-09-24 00:00:00+00:00,21.789968,9.3650255,99.090546,57.12695,,,1023.2019
1950-09-25 00:00:00+00:00,19.715864,11.672728,99.16479,76.099945,,,1017.6475
1950-09-26 00:00:00+00:00,20.04176,11.48043,99.239044,73.07295,,,1013.9931
1950-09-27 00:00:00+00:00,18.717657,11.488132,99.3133,44.045948,,,1008.9387
1950-09-28 00:00:00+00:00,15.743552,9.395833,99.38755,67.01896,,,1002.0843
1950-09-29 00:00:00+00:00,13.419448,8.203534,99.46181,73.99196,,,1005.62994
1950-09-30 00:00:00+00:00,13.595344,6.361236,99.53606,71.96496,,,1012.3756
1950-10-01 00:00:00+00:00,14.32124,7.118939,99.610306,68.937965,,,1018.0212
1950-10-02 00:00:00+00:00,9.897135,7.82664,99.684555,98.910965,,,1022.4668
1950-10-03 00:00:00+00:00,13.773031,5.934343,99.75882,65.883965,,,1020.11237
1950-10-04 00:00:00+00:00,14.048927,4.092044,99.83308,57.856968,,,1011.75806
